approach,mechanism,missingratio,n,nrmse,r2,LR_mse
GAINCredit,MCAR,0.7,4,0.0938682281063,0.203357661455,0.00855301257533
GAINCredit,MCAR,0.7,5,0.0685525257368,0.24057716594,0.00815341180782
GAINCredit,MCAR,0.7,6,0.2798388882,0.323032592139,0.00726814339682
GAINCredit,MCAR,0.7,7,0.143158035768,0.126017189963,0.00938336516048
GAINCredit,MCAR,0.7,8,0.252280145461,0.16154139907,0.00900196563836
GAINCredit,MCAR,0.7,9,0.302539611154,-1.1377614735,0.0229517060307
MICE,MAR,0.1,0,0.0691812965615,0.142694822365,0.00920430864696
MICE,MAR,0.1,1,0.0143616173254,0.172117174704,0.00888842065385
MICE,MAR,0.1,10,0.0599585298553,0.135936534902,0.0092768678305
MICE,MAR,0.1,11,0.0216702845481,0.123663791836,0.00940863201211
MICE,MAR,0.1,12,0.0264004274053,0.162768746272,0.00898878843757
MICE,MAR,0.1,13,0.0257583547785,0.160322348955,0.00901505375891
MICE,MAR,0.1,14,0.0185822885792,0.146193124109,0.00916674973582
MICE,MAR,0.1,15,0.0616647590921,0.152169155881,0.0091025891051
MICE,MAR,0.1,16,0.0209081913475,0.143347151063,0.00919730503281
MICE,MAR,0.1,17,0.021743686334,0.0593118450645,0.0100995355498
MICE,MAR,0.1,18,0.0678925240734,0.131918535161,0.00932000638924
MICE,MAR,0.1,19,0.0267875516358,0.190702476783,0.00868888277505
MICE,MAR,0.1,2,0.0239292786115,0.0904928878277,0.00976476568138
MICE,MAR,0.1,3,0.0233427041696,0.195922920549,0.00863283438416
MICE,MAR,0.1,4,0.0742501069357,0.198122066324,0.00860922363621
MICE,MAR,0.1,5,0.0142680165489,0.0655508306005,0.0100325517615
MICE,MAR,0.1,6,0.0222489644419,0.156804360941,0.00905282402829
MICE,MAR,0.1,7,0.0130832515335,-0.0270077385317,0.0110262908179
MICE,MAR,0.1,8,0.0496055855538,0.134211958645,0.00929538344497
MICE,MAR,0.1,9,0.0209669355248,0.143941562461,0.00919092323772
MICE,MAR,0.3,0,0.0226676057778,-0.0530878663374,0.0113062955958
MICE,MAR,0.3,1,0.0551896235518,0.224849267752,0.00832227166434
MICE,MAR,0.3,10,0.0198484827131,0.197178383749,0.00861935532083
MICE,MAR,0.3,11,0.0576039083592,0.0950354316344,0.00971599544607
MICE,MAR,0.3,12,0.0277972546599,0.191141896952,0.00868416501646
MICE,MAR,0.3,13,0.0539599608109,0.172588562471,0.00888335968068
MICE,MAR,0.3,14,0.0183715546349,0.213066962298,0.00844877034742
MICE,MAR,0.3,15,0.0502581769553,-0.0606267809575,0.0113872358477
MICE,MAR,0.3,16,0.0237016635845,-0.073313741155,0.0115234471998
MICE,MAR,0.3,17,0.0226710957193,0.0834178850607,0.00984072522396
