Approach, Missing Data Mechanism, Missing Ratio, RMSE
MeanImputation,MAR,0.5,0.1176527323
MICE,MAR,0.5,0.0350804396
MissForest,MAR,0.5,0.0281255792
GAINCredit,MAR,0.7,0.2440149043
MostFrequent,MAR,0.7,0.3638051978
MeanImputation,MAR,0.7,0.3303951127
MICE,MAR,0.7,0.0659994455
MissForest,MAR,0.7,0.0503617265
GAINCredit,MCAR,0.1,0.0713309069
MostFrequent,MCAR,0.1,0.0951739004
MeanImputation,MCAR,0.1,0.0577673526
MICE,MCAR,0.1,0.0532309417
MissForest,MCAR,0.1,0.0321195602
GAINCredit,MCAR,0.3,0.0587253968
MostFrequent,MCAR,0.3,0.8964606564
MeanImputation,MCAR,0.3,0.2746595415
MICE,MCAR,0.3,0.055480551
MissForest,MCAR,0.3,0.0350890976
GAINCredit,MCAR,0.5,0.3028471698
MostFrequent,MCAR,0.5,0.8072232239
MeanImputation,MCAR,0.5,0.4071065523
MICE,MCAR,0.5,0.0584757196
MissForest,MCAR,0.5,0.0396411556
GAINCredit,MCAR,0.7,0.1624160424
MostFrequent,MCAR,0.7,0.5238149853
MeanImputation,MCAR,0.7,0.3689756977
MICE,MCAR,0.7,0.0623828381
MissForest,MCAR,0.7,0.0460016594
GAINCredit,MAR,0.1,0.0423726721
MostFrequent,MAR,0.1,0.4553465914
MeanImputation,MAR,0.1,0.1918367621
MICE,MAR,0.1,0.0272580856
MissForest,MAR,0.1,0.0140074526
GAINCredit,MAR,0.3,0.0644602491
MostFrequent,MAR,0.3,0.4660636843
MeanImputation,MAR,0.3,0.3050937411
MICE,MAR,0.3,0.0295388673
MissForest,MAR,0.3,0.0191764546
GAINCredit,MAR,0.5,0.1627044034
MostFrequent,MAR,0.5,0.3641347558
MeanImputation,MAR,0.5,0.2662463597
MICE,MAR,0.5,0.065469119
MissForest,MAR,0.5,0.0467633033
GAINCredit,MAR,0.7,0.4122254754
MostFrequent,MAR,0.7,0.656652297
MeanImputation,MAR,0.7,0.5939040906
MICE,MAR,0.7,0.0635983059
MissForest,MAR,0.7,0.0474994547
GAINCredit,MCAR,0.1,0.0623451656
MostFrequent,MCAR,0.1,0.1034829059
MeanImputation,MCAR,0.1,0.0586438578
MICE,MCAR,0.1,0.0535427203
MissForest,MCAR,0.1,0.0327630781
GAINCredit,MCAR,0.3,0.1515068436
MostFrequent,MCAR,0.3,0.4041113094
MeanImputation,MCAR,0.3,0.132554785
MICE,MCAR,0.3,0.0547085831
MissForest,MCAR,0.3,0.0348254665
GAINCredit,MCAR,0.5,0.3208384434
MostFrequent,MCAR,0.5,0.1407982035
MeanImputation,MCAR,0.5,0.0860567248
MICE,MCAR,0.5,0.057881209
MissForest,MCAR,0.5,0.0390059816
GAINCredit,MCAR,0.7,0.180912418
MostFrequent,MCAR,0.7,0.8780188789
MeanImputation,MCAR,0.7,0.6163852485
MICE,MCAR,0.7,0.0625868595
MissForest,MCAR,0.7,0.0463596576
GAINCredit,MAR,0.1,0.0305768885
MostFrequent,MAR,0.1,0.1349008416
MeanImputation,MAR,0.1,0.0589453473
MICE,MAR,0.1,0.0353018662
MissForest,MAR,0.1,0.0214547068
GAINCredit,MAR,0.3,0.0902459863
MostFrequent,MAR,0.3,0.1194556015
MeanImputation,MAR,0.3,0.0996742091
MICE,MAR,0.3,0.0773810771
MissForest,MAR,0.3,0.0522563692
GAINCredit,MAR,0.5,0.0622286635
MostFrequent,MAR,0.5,0.5433621512
MeanImputation,MAR,0.5,0.4211842198
MICE,MAR,0.5,0.0344743398
MissForest,MAR,0.5,0.0267692479
GAINCredit,MAR,0.7,0.2380581253
MostFrequent,MAR,0.7,0.3279638417
MeanImputation,MAR,0.7,0.2989168038
MICE,MAR,0.7,0.0665392384
MissForest,MAR,0.7,0.0492041882
GAINCredit,MCAR,0.1,0.0614660328
MostFrequent,MCAR,0.1,0.199780984
MeanImputation,MCAR,0.1,0.0699225525
MICE,MCAR,0.1,0.0541242746
MissForest,MCAR,0.1,0.0330089093
GAINCredit,MCAR,0.3,0.0690249675
MostFrequent,MCAR,0.3,0.7632977115
MeanImputation,MCAR,0.3,0.2362560922
MICE,MCAR,0.3,0.0545610654
MissForest,MCAR,0.3,0.0346513247
GAINCredit,MCAR,0.5,0.3056314544
MostFrequent,MCAR,0.5,0.1425281877
MeanImputation,MCAR,0.5,0.0862970065
MICE,MCAR,0.5,0.0575503267
MissForest,MCAR,0.5,0.0390340074
GAINCredit,MCAR,0.7,0.0910613991
MostFrequent,MCAR,0.7,0.7015655848
MeanImputation,MCAR,0.7,0.4932867331
MICE,MCAR,0.7,0.063032813
MissForest,MCAR,0.7,0.045474982
GAINCredit,MAR,0.1,0.0960734993
MostFrequent,MAR,0.1,0.3219072444
MeanImputation,MAR,0.1,0.126209796
MICE,MAR,0.1,0.0870178429
MissForest,MAR,0.1,0.0521003959
GAINCredit,MAR,0.3,0.1382568599
MostFrequent,MAR,0.3,0.8001877665
MeanImputation,MAR,0.3,0.4711538176
MICE,MAR,0.3,0.0714619551
MissForest,MAR,0.3,0.0459480249
GAINCredit,MAR,0.5,0.1120551235
MostFrequent,MAR,0.5,0.6815808317
MeanImputation,MAR,0.5,0.5648538944
MICE,MAR,0.5,0.0701313967
